"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"113","2023","ROI_034","LOCRC",4,11,0.363636363636364
"114","2045","ROI_036","EOCRC",642,9044,0.0709862892525431
"115","206","ROI_025","LOCRC",1,74,0.0135135135135135
"116","207","ROI_025","LOCRC",2,225,0.00888888888888889
"117","209","ROI_025","LOCRC",48,1505,0.0318936877076412
"118","2095","ROI_037","LOCRC",886,5621,0.157623198719089
"119","211","ROI_025","LOCRC",0,15,0
"120","2112","ROI_037","LOCRC",0,13,0
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",1,36,0.0277777777777778
"123","2174","ROI_037","LOCRC",3,165,0.0181818181818182
"124","2208","ROI_037","LOCRC",16,145,0.110344827586207
"125","2216","ROI_037","LOCRC",0,33,0
"126","2229","ROI_038","EOCRC",571,7657,0.0745722867963955
"127","2244","ROI_038","EOCRC",0,24,0
"128","2248","ROI_038","EOCRC",0,16,0
"129","2255","ROI_038","EOCRC",0,29,0
"130","2274","ROI_038","EOCRC",1,24,0.0416666666666667
"131","2282","ROI_038","EOCRC",1,39,0.0256410256410256
"132","2319","ROI_001","LOCRC",0,123,0
"133","2320","ROI_001","LOCRC",0,168,0
"134","2322","ROI_001","LOCRC",1,20,0.05
"135","2329","ROI_001","LOCRC",0,308,0
"136","2341","ROI_001","LOCRC",0,17,0
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",0,24,0
"139","235","ROI_025","LOCRC",0,10,0
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",0,20,0
"142","2387","ROI_001","LOCRC",0,12,0
"143","2403","ROI_001","LOCRC",0,18,0
"144","2416","ROI_001","LOCRC",0,31,0
"145","2427","ROI_001","LOCRC",0,27,0
"146","2432","ROI_001","LOCRC",0,14,0
"147","2434","ROI_001","LOCRC",0,23,0
"148","2482","ROI_001","LOCRC",0,11,0
"149","2484","ROI_001","LOCRC",0,26,0
"150","2489","ROI_001","LOCRC",0,11,0
"151","2490","ROI_001","LOCRC",0,13,0
"152","2491","ROI_001","LOCRC",0,22,0
"153","2493","ROI_001","LOCRC",0,29,0
"154","2494","ROI_001","LOCRC",0,12,0
"155","2499","ROI_001","LOCRC",0,15,0
"156","250","ROI_025","LOCRC",0,21,0
"157","2502","ROI_001","LOCRC",0,10,0
"158","2504","ROI_001","LOCRC",2,27,0.0740740740740741
"159","252","ROI_025","LOCRC",0,12,0
"160","254","ROI_025","LOCRC",0,60,0
"161","2540","ROI_001","LOCRC",3,14,0.214285714285714
"162","2547","ROI_001","LOCRC",1,14,0.0714285714285714
"163","2548","ROI_001","LOCRC",0,20,0
"164","255","ROI_025","LOCRC",0,44,0
"165","2553","ROI_001","LOCRC",0,31,0
"166","2596","ROI_001","LOCRC",2,11,0.181818181818182
"167","2607","ROI_001","LOCRC",0,13,0
"168","2617","ROI_001","LOCRC",0,12,0
"169","2626","ROI_001","LOCRC",0,17,0
"170","2642","ROI_001","LOCRC",1,11,0.0909090909090909
"171","2643","ROI_001","LOCRC",0,23,0
"172","2648","ROI_001","LOCRC",0,29,0
"173","2651","ROI_001","LOCRC",0,12,0
"174","2660","ROI_001","LOCRC",1,13,0.0769230769230769
"175","2662","ROI_001","LOCRC",0,13,0
"176","2671","ROI_001","LOCRC",0,39,0
"177","2677","ROI_001","LOCRC",1,50,0.02
"178","2679","ROI_001","LOCRC",2,53,0.0377358490566038
"179","2694","ROI_001","LOCRC",5,22,0.227272727272727
"180","2703","ROI_001","LOCRC",3,23,0.130434782608696
"181","2721","ROI_002","EOCRC",714,5384,0.132615156017831
"182","279","ROI_025","LOCRC",0,43,0
"183","2813","ROI_002","EOCRC",23,727,0.031636863823934
"184","2823","ROI_002","EOCRC",0,24,0
"185","2825","ROI_002","EOCRC",0,12,0
"186","285","ROI_025","LOCRC",0,26,0
"187","2886","ROI_002","EOCRC",2,96,0.0208333333333333
"188","2903","ROI_002","EOCRC",0,16,0
"189","2914","ROI_003","EOCRC",263,5561,0.0472936522208236
"190","2916","ROI_003","EOCRC",4,211,0.018957345971564
"191","2930","ROI_003","EOCRC",1,32,0.03125
"192","299","ROI_025","LOCRC",0,43,0
"193","301","ROI_025","LOCRC",2,162,0.0123456790123457
"194","3017","ROI_003","EOCRC",0,26,0
"195","3045","ROI_003","EOCRC",0,58,0
"196","3060","ROI_005","EOCRC",2,179,0.0111731843575419
"197","3061","ROI_005","EOCRC",0,68,0
"198","3080","ROI_005","EOCRC",0,48,0
"199","3088","ROI_005","EOCRC",0,62,0
"200","3101","ROI_005","EOCRC",0,13,0
"201","3102","ROI_005","EOCRC",8,381,0.020997375328084
"202","3114","ROI_005","EOCRC",6,726,0.00826446280991736
"203","3129","ROI_005","EOCRC",0,41,0
"204","3134","ROI_005","EOCRC",0,12,0
"205","3141","ROI_005","EOCRC",0,30,0
"206","3162","ROI_005","EOCRC",0,197,0
"207","3167","ROI_005","EOCRC",0,182,0
"208","3176","ROI_005","EOCRC",0,22,0
"209","3194","ROI_005","EOCRC",1,124,0.00806451612903226
"210","3205","ROI_005","EOCRC",0,24,0
"211","3209","ROI_005","EOCRC",0,11,0
"212","3211","ROI_005","EOCRC",0,12,0
"213","3217","ROI_006","LOCRC",0,16,0
"214","3218","ROI_006","LOCRC",0,29,0
"215","3219","ROI_006","LOCRC",7,340,0.0205882352941176
"216","3220","ROI_006","LOCRC",0,127,0
"217","3255","ROI_006","LOCRC",5,116,0.0431034482758621
"218","3265","ROI_006","LOCRC",0,31,0
"219","3282","ROI_006","LOCRC",0,47,0
"220","3293","ROI_006","LOCRC",0,16,0
"221","33","ROI_022","EOCRC",0,10,0
"222","3311","ROI_006","LOCRC",0,29,0
"223","3317","ROI_006","LOCRC",0,10,0
"224","3323","ROI_006","LOCRC",6,494,0.0121457489878543
"225","3326","ROI_006","LOCRC",0,20,0
"226","3329","ROI_006","LOCRC",0,22,0
"227","3332","ROI_006","LOCRC",7,205,0.0341463414634146
"228","3338","ROI_006","LOCRC",1,123,0.00813008130081301
"229","3351","ROI_006","LOCRC",0,106,0
"230","3353","ROI_006","LOCRC",0,29,0
"231","3355","ROI_006","LOCRC",0,24,0
"232","3357","ROI_006","LOCRC",0,15,0
"233","336","ROI_025","LOCRC",2,106,0.0188679245283019
"234","3372","ROI_006","LOCRC",0,16,0
"235","3377","ROI_006","LOCRC",0,14,0
"236","3400","ROI_006","LOCRC",0,33,0
"237","3404","ROI_006","LOCRC",0,111,0
"238","3417","ROI_006","LOCRC",0,12,0
"239","3423","ROI_006","LOCRC",0,40,0
"240","3425","ROI_006","LOCRC",0,12,0
"241","3426","ROI_006","LOCRC",0,134,0
"242","3428","ROI_006","LOCRC",0,14,0
"243","3442","ROI_006","LOCRC",0,63,0
"244","3448","ROI_006","LOCRC",0,11,0
"245","3471","ROI_006","LOCRC",0,16,0
"246","3475","ROI_006","LOCRC",0,38,0
"247","3476","ROI_006","LOCRC",0,14,0
"248","3478","ROI_006","LOCRC",1,17,0.0588235294117647
"249","3487","ROI_008","LOCRC",6,100,0.06
"250","3488","ROI_008","LOCRC",1,56,0.0178571428571429
"251","3489","ROI_008","LOCRC",50,1422,0.0351617440225035
"252","3504","ROI_008","LOCRC",4,55,0.0727272727272727
"253","352","ROI_025","LOCRC",1,20,0.05
"254","3527","ROI_008","LOCRC",9,204,0.0441176470588235
"255","3538","ROI_008","LOCRC",0,32,0
"256","3545","ROI_008","LOCRC",1,23,0.0434782608695652
"257","3546","ROI_008","LOCRC",0,72,0
"258","3549","ROI_008","LOCRC",11,179,0.0614525139664804
"259","3553","ROI_008","LOCRC",2,15,0.133333333333333
"260","3559","ROI_008","LOCRC",0,11,0
"261","3565","ROI_008","LOCRC",0,23,0
"262","3567","ROI_008","LOCRC",7,129,0.0542635658914729
"263","3568","ROI_008","LOCRC",1,27,0.037037037037037
"264","3569","ROI_008","LOCRC",2,46,0.0434782608695652
"265","357","ROI_025","LOCRC",3,67,0.0447761194029851
"266","3575","ROI_008","LOCRC",3,74,0.0405405405405405
"267","3580","ROI_008","LOCRC",1,65,0.0153846153846154
"268","3583","ROI_008","LOCRC",0,13,0
"269","3587","ROI_008","LOCRC",1,11,0.0909090909090909
"270","359","ROI_025","LOCRC",0,13,0
"271","3593","ROI_008","LOCRC",2,48,0.0416666666666667
"272","3595","ROI_008","LOCRC",3,42,0.0714285714285714
"273","36","ROI_022","EOCRC",73,2046,0.0356793743890518
"274","362","ROI_025","LOCRC",2,15,0.133333333333333
"275","385","ROI_025","LOCRC",0,13,0
"276","39","ROI_022","EOCRC",0,14,0
"277","393","ROI_025","LOCRC",0,21,0
"278","395","ROI_025","LOCRC",4,32,0.125
"279","40","ROI_022","EOCRC",3,34,0.0882352941176471
"280","411","ROI_025","LOCRC",0,19,0
"281","426","ROI_025","LOCRC",41,775,0.0529032258064516
"282","43","ROI_022","EOCRC",0,13,0
"283","432","ROI_025","LOCRC",0,29,0
"284","455","ROI_025","LOCRC",1,50,0.02
"285","46","ROI_022","EOCRC",0,11,0
"286","472","ROI_025","LOCRC",0,19,0
"287","480","ROI_026","LOCRC",40,720,0.0555555555555556
"288","481","ROI_026","LOCRC",0,17,0
"289","528","ROI_026","LOCRC",4,111,0.036036036036036
"290","53","ROI_022","EOCRC",0,24,0
"291","552","ROI_026","LOCRC",0,11,0
"292","557","ROI_026","LOCRC",290,4259,0.0680911011974642
"293","568","ROI_026","LOCRC",1,37,0.027027027027027
"294","587","ROI_026","LOCRC",0,38,0
"295","590","ROI_026","LOCRC",0,20,0
"296","60","ROI_022","EOCRC",8,71,0.112676056338028
"297","602","ROI_026","LOCRC",0,17,0
