"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"113","2023","ROI_034","LOCRC",4,11,0.363636363636364
"114","2045","ROI_036","EOCRC",1017,9044,0.112450243255197
"115","206","ROI_025","LOCRC",4,74,0.0540540540540541
"116","207","ROI_025","LOCRC",43,225,0.191111111111111
"117","209","ROI_025","LOCRC",232,1505,0.154152823920266
"118","2095","ROI_037","LOCRC",1446,5621,0.257249599715353
"119","211","ROI_025","LOCRC",2,15,0.133333333333333
"120","2112","ROI_037","LOCRC",2,13,0.153846153846154
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",10,36,0.277777777777778
"123","2174","ROI_037","LOCRC",44,165,0.266666666666667
"124","2208","ROI_037","LOCRC",38,145,0.262068965517241
"125","2216","ROI_037","LOCRC",4,33,0.121212121212121
"126","2229","ROI_038","EOCRC",1284,7657,0.167689695703278
"127","2244","ROI_038","EOCRC",1,24,0.0416666666666667
"128","2248","ROI_038","EOCRC",0,16,0
"129","2255","ROI_038","EOCRC",6,29,0.206896551724138
"130","2274","ROI_038","EOCRC",7,24,0.291666666666667
"131","2282","ROI_038","EOCRC",2,39,0.0512820512820513
"132","2319","ROI_001","LOCRC",15,123,0.121951219512195
"133","2320","ROI_001","LOCRC",8,168,0.0476190476190476
"134","2322","ROI_001","LOCRC",6,20,0.3
"135","2329","ROI_001","LOCRC",4,308,0.012987012987013
"136","2341","ROI_001","LOCRC",1,17,0.0588235294117647
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",4,24,0.166666666666667
"139","235","ROI_025","LOCRC",1,10,0.1
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",12,20,0.6
"142","2387","ROI_001","LOCRC",0,12,0
"143","2403","ROI_001","LOCRC",4,18,0.222222222222222
"144","2416","ROI_001","LOCRC",10,31,0.32258064516129
"145","2427","ROI_001","LOCRC",0,27,0
"146","2432","ROI_001","LOCRC",3,14,0.214285714285714
"147","2434","ROI_001","LOCRC",1,23,0.0434782608695652
"148","2482","ROI_001","LOCRC",0,11,0
"149","2484","ROI_001","LOCRC",2,26,0.0769230769230769
"150","2489","ROI_001","LOCRC",0,11,0
"151","2490","ROI_001","LOCRC",1,13,0.0769230769230769
"152","2491","ROI_001","LOCRC",1,22,0.0454545454545455
"153","2493","ROI_001","LOCRC",3,29,0.103448275862069
"154","2494","ROI_001","LOCRC",0,12,0
"155","2499","ROI_001","LOCRC",5,15,0.333333333333333
"156","250","ROI_025","LOCRC",11,21,0.523809523809524
"157","2502","ROI_001","LOCRC",3,10,0.3
"158","2504","ROI_001","LOCRC",5,27,0.185185185185185
"159","252","ROI_025","LOCRC",0,12,0
"160","254","ROI_025","LOCRC",1,60,0.0166666666666667
"161","2540","ROI_001","LOCRC",2,14,0.142857142857143
"162","2547","ROI_001","LOCRC",1,14,0.0714285714285714
"163","2548","ROI_001","LOCRC",0,20,0
"164","255","ROI_025","LOCRC",4,44,0.0909090909090909
"165","2553","ROI_001","LOCRC",0,31,0
"166","2596","ROI_001","LOCRC",1,11,0.0909090909090909
"167","2607","ROI_001","LOCRC",1,13,0.0769230769230769
"168","2617","ROI_001","LOCRC",0,12,0
"169","2626","ROI_001","LOCRC",2,17,0.117647058823529
"170","2642","ROI_001","LOCRC",1,11,0.0909090909090909
"171","2643","ROI_001","LOCRC",3,23,0.130434782608696
"172","2648","ROI_001","LOCRC",1,29,0.0344827586206897
"173","2651","ROI_001","LOCRC",0,12,0
"174","2660","ROI_001","LOCRC",1,13,0.0769230769230769
"175","2662","ROI_001","LOCRC",1,13,0.0769230769230769
"176","2671","ROI_001","LOCRC",4,39,0.102564102564103
"177","2677","ROI_001","LOCRC",8,50,0.16
"178","2679","ROI_001","LOCRC",6,53,0.113207547169811
"179","2694","ROI_001","LOCRC",11,22,0.5
"180","2703","ROI_001","LOCRC",1,23,0.0434782608695652
"181","2721","ROI_002","EOCRC",411,5384,0.0763372956909361
"182","279","ROI_025","LOCRC",5,43,0.116279069767442
"183","2813","ROI_002","EOCRC",70,727,0.0962861072902338
"184","2823","ROI_002","EOCRC",0,24,0
"185","2825","ROI_002","EOCRC",0,12,0
"186","285","ROI_025","LOCRC",4,26,0.153846153846154
"187","2886","ROI_002","EOCRC",2,96,0.0208333333333333
"188","2903","ROI_002","EOCRC",0,16,0
"189","2914","ROI_003","EOCRC",394,5561,0.070850566444884
"190","2916","ROI_003","EOCRC",11,211,0.0521327014218009
"191","2930","ROI_003","EOCRC",6,32,0.1875
"192","299","ROI_025","LOCRC",4,43,0.0930232558139535
"193","301","ROI_025","LOCRC",10,162,0.0617283950617284
"194","3017","ROI_003","EOCRC",0,26,0
"195","3045","ROI_003","EOCRC",1,58,0.0172413793103448
"196","3060","ROI_005","EOCRC",19,179,0.106145251396648
"197","3061","ROI_005","EOCRC",7,68,0.102941176470588
"198","3080","ROI_005","EOCRC",5,48,0.104166666666667
"199","3088","ROI_005","EOCRC",6,62,0.0967741935483871
"200","3101","ROI_005","EOCRC",1,13,0.0769230769230769
"201","3102","ROI_005","EOCRC",49,381,0.128608923884514
"202","3114","ROI_005","EOCRC",117,726,0.161157024793388
"203","3129","ROI_005","EOCRC",5,41,0.121951219512195
"204","3134","ROI_005","EOCRC",2,12,0.166666666666667
"205","3141","ROI_005","EOCRC",4,30,0.133333333333333
"206","3162","ROI_005","EOCRC",25,197,0.126903553299492
"207","3167","ROI_005","EOCRC",6,182,0.032967032967033
"208","3176","ROI_005","EOCRC",1,22,0.0454545454545455
"209","3194","ROI_005","EOCRC",23,124,0.185483870967742
"210","3205","ROI_005","EOCRC",0,24,0
"211","3209","ROI_005","EOCRC",0,11,0
"212","3211","ROI_005","EOCRC",0,12,0
"213","3217","ROI_006","LOCRC",0,16,0
"214","3218","ROI_006","LOCRC",2,29,0.0689655172413793
"215","3219","ROI_006","LOCRC",18,340,0.0529411764705882
"216","3220","ROI_006","LOCRC",10,127,0.078740157480315
"217","3255","ROI_006","LOCRC",11,116,0.0948275862068965
"218","3265","ROI_006","LOCRC",0,31,0
"219","3282","ROI_006","LOCRC",8,47,0.170212765957447
"220","3293","ROI_006","LOCRC",2,16,0.125
"221","33","ROI_022","EOCRC",0,10,0
"222","3311","ROI_006","LOCRC",0,29,0
"223","3317","ROI_006","LOCRC",0,10,0
"224","3323","ROI_006","LOCRC",62,494,0.125506072874494
