"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"117","209","ROI_025","LOCRC",149,1505,0.0990033222591362
"118","2095","ROI_037","LOCRC",539,5621,0.0958904109589041
"119","211","ROI_025","LOCRC",2,15,0.133333333333333
"120","2112","ROI_037","LOCRC",1,13,0.0769230769230769
"121","2149","ROI_037","LOCRC",0,2,0
"122","2167","ROI_037","LOCRC",1,36,0.0277777777777778
"123","2174","ROI_037","LOCRC",12,165,0.0727272727272727
"124","2208","ROI_037","LOCRC",10,145,0.0689655172413793
"125","2216","ROI_037","LOCRC",1,33,0.0303030303030303
"126","2229","ROI_038","EOCRC",836,7657,0.109181141439206
"127","2244","ROI_038","EOCRC",0,24,0
"128","2248","ROI_038","EOCRC",4,16,0.25
"129","2255","ROI_038","EOCRC",0,29,0
"130","2274","ROI_038","EOCRC",2,24,0.0833333333333333
"131","2282","ROI_038","EOCRC",1,39,0.0256410256410256
"132","2319","ROI_001","LOCRC",0,123,0
"133","2320","ROI_001","LOCRC",2,168,0.0119047619047619
"134","2322","ROI_001","LOCRC",0,20,0
"135","2329","ROI_001","LOCRC",0,308,0
"136","2341","ROI_001","LOCRC",0,17,0
"137","2345","ROI_001","LOCRC",0,15,0
"138","2347","ROI_001","LOCRC",0,24,0
"139","235","ROI_025","LOCRC",0,10,0
"140","2366","ROI_001","LOCRC",0,12,0
"141","2383","ROI_001","LOCRC",0,20,0
"142","2387","ROI_001","LOCRC",0,12,0
"143","2403","ROI_001","LOCRC",0,18,0
"144","2416","ROI_001","LOCRC",0,31,0
"145","2427","ROI_001","LOCRC",0,27,0
"146","2432","ROI_001","LOCRC",0,14,0
"147","2434","ROI_001","LOCRC",0,23,0
"148","2482","ROI_001","LOCRC",0,11,0
"149","2484","ROI_001","LOCRC",0,26,0
"150","2489","ROI_001","LOCRC",0,11,0
"151","2490","ROI_001","LOCRC",0,13,0
"152","2491","ROI_001","LOCRC",0,22,0
"153","2493","ROI_001","LOCRC",0,29,0
"154","2494","ROI_001","LOCRC",0,12,0
"155","2499","ROI_001","LOCRC",0,15,0
"156","250","ROI_025","LOCRC",0,21,0
"157","2502","ROI_001","LOCRC",0,10,0
"158","2504","ROI_001","LOCRC",0,27,0
"159","252","ROI_025","LOCRC",0,12,0
"160","254","ROI_025","LOCRC",1,60,0.0166666666666667
"161","2540","ROI_001","LOCRC",0,14,0
"162","2547","ROI_001","LOCRC",0,14,0
"163","2548","ROI_001","LOCRC",0,20,0
"164","255","ROI_025","LOCRC",1,44,0.0227272727272727
"165","2553","ROI_001","LOCRC",0,31,0
"166","2596","ROI_001","LOCRC",0,11,0
"167","2607","ROI_001","LOCRC",0,13,0
"168","2617","ROI_001","LOCRC",0,12,0
"169","2626","ROI_001","LOCRC",0,17,0
"170","2642","ROI_001","LOCRC",1,11,0.0909090909090909
"171","2643","ROI_001","LOCRC",0,23,0
"172","2648","ROI_001","LOCRC",0,29,0
"173","2651","ROI_001","LOCRC",0,12,0
"174","2660","ROI_001","LOCRC",0,13,0
"175","2662","ROI_001","LOCRC",0,13,0
"176","2671","ROI_001","LOCRC",8,39,0.205128205128205
"177","2677","ROI_001","LOCRC",6,50,0.12
"178","2679","ROI_001","LOCRC",6,53,0.113207547169811
"179","2694","ROI_001","LOCRC",0,22,0
"180","2703","ROI_001","LOCRC",0,23,0
"181","2721","ROI_002","EOCRC",708,5384,0.131500742942051
"182","279","ROI_025","LOCRC",2,43,0.0465116279069767
"183","2813","ROI_002","EOCRC",58,727,0.0797799174690509
"184","2823","ROI_002","EOCRC",0,24,0
"185","2825","ROI_002","EOCRC",0,12,0
"186","285","ROI_025","LOCRC",1,26,0.0384615384615385
"187","2886","ROI_002","EOCRC",12,96,0.125
"188","2903","ROI_002","EOCRC",0,16,0
"189","2914","ROI_003","EOCRC",596,5561,0.10717496853084
"190","2916","ROI_003","EOCRC",24,211,0.113744075829384
"191","2930","ROI_003","EOCRC",3,32,0.09375
"192","299","ROI_025","LOCRC",6,43,0.13953488372093
"193","301","ROI_025","LOCRC",10,162,0.0617283950617284
"194","3017","ROI_003","EOCRC",0,26,0
"195","3045","ROI_003","EOCRC",0,58,0
"196","3060","ROI_005","EOCRC",6,179,0.0335195530726257
"197","3061","ROI_005","EOCRC",2,68,0.0294117647058824
"198","3080","ROI_005","EOCRC",0,48,0
"199","3088","ROI_005","EOCRC",2,62,0.032258064516129
"200","3101","ROI_005","EOCRC",0,13,0
"201","3102","ROI_005","EOCRC",33,381,0.0866141732283465
"202","3114","ROI_005","EOCRC",9,726,0.012396694214876
"203","3129","ROI_005","EOCRC",2,41,0.048780487804878
"204","3134","ROI_005","EOCRC",5,12,0.416666666666667
"205","3141","ROI_005","EOCRC",0,30,0
"206","3162","ROI_005","EOCRC",1,197,0.0050761421319797
"207","3167","ROI_005","EOCRC",3,182,0.0164835164835165
"208","3176","ROI_005","EOCRC",0,22,0
"209","3194","ROI_005","EOCRC",1,124,0.00806451612903226
"210","3205","ROI_005","EOCRC",0,24,0
"211","3209","ROI_005","EOCRC",0,11,0
"212","3211","ROI_005","EOCRC",0,12,0
"213","3217","ROI_006","LOCRC",0,16,0
"214","3218","ROI_006","LOCRC",0,29,0
"215","3219","ROI_006","LOCRC",7,340,0.0205882352941176
"216","3220","ROI_006","LOCRC",1,127,0.0078740157480315
"217","3255","ROI_006","LOCRC",1,116,0.00862068965517241
"218","3265","ROI_006","LOCRC",0,31,0
"219","3282","ROI_006","LOCRC",1,47,0.0212765957446809
"220","3293","ROI_006","LOCRC",0,16,0
"221","33","ROI_022","EOCRC",0,10,0
"222","3311","ROI_006","LOCRC",0,29,0
"223","3317","ROI_006","LOCRC",0,10,0
"224","3323","ROI_006","LOCRC",27,494,0.0546558704453441
"225","3326","ROI_006","LOCRC",0,20,0
"226","3329","ROI_006","LOCRC",0,22,0
